time,linear_pos_x,linear_pos_y,linear_pos_z,angular_pos_x,angular_pos_y,angular_pos_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839954,-0.018730151566230764,0.0028993802520860114,0.15835739636692558,6.603757541653926e-05,-0.006821236087303898,0.0001237743778319579,0.0,0.0,0.0,-0.37460303132461525,0.05798760504172022,3.1671479273385117,0.0,0.0,0.0
1683839954,-0.021153733435983604,0.0026921944537305234,0.19415692896128584,4.462927741675505e-05,-0.008284533898213368,0.00025138633445579437,0.0,0.0,0.0,-0.048471637395056805,-0.0041437159671097595,0.715990651887205,0.0,0.0,0.0
1683839954,-0.023198706590872156,0.0032454027031929384,0.21587771641266493,0.0003589914734137756,-0.008532743150769437,0.00035356531711231223,0.0,0.0,0.0,-0.04089946309777104,0.011064164989248301,0.43441574902758184,0.0,0.0,0.0
1683839954,-0.027228861725657676,0.009371491640114735,0.23155054995603078,0.0002529561243462597,-0.009477677304971349,-0.00014366544712042298,0.0,0.0,0.0,-0.0806031026957104,0.12252177873843592,0.313456670867317,0.0,0.0,0.0
1683839954,-0.027174227029104887,0.00843540110217306,0.23932554987670157,-0.00017394016073642713,-0.009732217163853847,-0.0001140465584830089,0.0,0.0,0.0,0.0010926939310557798,-0.018721810758833488,0.15549999841341589,0.0,0.0,0.0
1683839954,-0.027538254038740006,0.008302268415984467,0.2527916881088414,0.00018728819739626177,-0.010341379271800687,1.7974294772249657e-05,0.0,0.0,0.0,-0.00728054019270237,-0.002662653723771863,0.2693227646427965,0.0,0.0,0.0
1683839954,-0.02688457188289211,0.008841309171444664,0.26749131533673154,0.0002043678914620071,-0.010504413830789082,1.0207632292143682e-05,0.0,0.0,0.0,0.013073643116957925,0.010780815109203944,0.2939925445578029,0.0,0.0,0.0
